No.	NAME	Me	O%	Psi_i_A	Psi_e_A	MPC10	X4Av	VR1_D/Dt	J_Dz(e)	J_Dz(i)	VE1sign_B(m)	VE2sign_B(m)	SpPosA_B(e)	VE1sign_B(e)	VE2sign_B(e)	VE1sign_B(i)	VE2sign_B(i)	AVS_B(s)	ChiA_B(s)	SpPosA_B(s)	SpMAD_B(s)	SM3_B(s)	SM4_B(s)	SM5_B(s)	SM6_B(s)	ATSC2s	MATS8m	MATS8e	MATS8s	SpMax2_Bh(s)	P_VSA_LogP_2	P_VSA_LogP_4	P_VSA_LogP_5	P_VSA_m_3	P_VSA_v_2	P_VSA_e_5	P_VSA_p_2	P_VSA_ppp_A	Eta_epsi_A	Eta_L_A	Eta_FL_A	SM08_AEA(dm)	SM09_AEA(dm)	SM09_AEA(ri)	SM10_AEA(ri)	Eig14_EA	Eig15_EA	Eig14_EA(ed)	Eig15_EA(ed)	Eig14_EA(bo)	Eig15_EA(bo)	Eig02_EA(dm)	Eig15_EA(dm)	Eig14_EA(ri)	Eig15_EA(ri)	Eig14_AEA(bo)	Eig14_AEA(dm)	Eig15_AEA(dm)	Eig14_AEA(ri)	Eig15_AEA(ri)	PJI3	VE1sign_G	VE1sign_RG	TDB01s	TDB02s	TDB03s	TDB04s	Mor06m	Mor06v	Mor28v	Mor03p	Mor28p	Mor06s	Mor14s	Mor21s	Mor31s	G1u	G3u	G1m	G1v	G1e	G1p	G1i	G3i	G1s	Gu	Gm	R5m	R5m+	R4p	R5p	nCconj	nRCOOR	nROR	nO(C=O)2	nCH2RX	C-015	C-018	C-040	O-059	O-060	SdCH2	SdssC	NdCH2	NdssC	B02[O-O]	B05[O-Cl]	F02[O-O]	F05[O-Cl]	Qmean	Q2	LDI	TPSA(NO)	SAacc	CATS3D_04_AA	Molecule	U	V
97	*****	1.052	16.7	3.254	8.754	0.000	0.062		3.7919	3.5749	0.297	0.042	1.389	0.243	0.035	0.254	0.036	5.295	0.204	3.254	2.036	6.485	8.320	10.214	12.150	25.689	0.000	0.000	0.000	4.868	30.151	32.336	11.000	36.145	36.145	36.145	36.145	36.145	0.718	0.239	0.233	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.646	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.658	0.046	0.153	6.079	12.360	22.363	23.469	0.501	0.054	-0.072	-0.306	-0.095	-2.547	-0.830	-0.639	-0.046	0.218	0.281	0.218	0.218	0.218	0.218	0.218	0.281	0.218	0.237	0.228	0.141	0.094	0.175	0.200	0	1	0	0	1	1	1	1	0	1	3.147	-0.475	1	1	1	0	1	0	0.143	0.419	0.258	26.300	36.145	0	vinylchloroacetate.mol2	-0.98	-1.30
98	*****	1.052	12.5	3.556	9.056	0.000	0.000		3.4784	3.3785	0.092	0.018	1.395	0.188	0.038	0.212	0.042	5.609	0.191	3.556	2.163	6.362	8.237	10.162	12.118	17.162	0.000	0.000	0.000	4.712	15.767	30.593	0.000	25.145	25.145	25.145	25.145	25.145	0.732	0.181	0.273	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.767	0.117	0.153	6.860	18.286	19.906	20.866	0.837	0.215	-0.008	-0.223	-0.032	2.405	-0.349	-0.369	0.428	0.250	1.000	0.250	0.250	0.250	0.250	0.250	1.000	0.250	0.450	0.397	0.000	0.000	0.113	0.000	3	0	0	0	0	1	0	1	0	0	3.079	-0.509	1	1	0	0	0	0	0.104	0.156	0.216	17.070	25.145	0	Vinylchloromethylketone.mol2	-1.58	0.97
99	*****	1.079	16.7	3.340	8.840	0.000	0.059		4.1269	3.8963	0.216	0.027	1.394	0.062	0.008	0.067	0.008	5.403	0.197	3.356	1.961	6.610	8.414	10.282	12.196	29.431	0.000	0.000	0.000	4.946	27.301	32.336	11.000	36.145	36.145	36.145	36.145	36.145	0.809	0.248	0.212	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.412	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.825	0.019	0.135	6.648	16.053	29.861	25.008	1.515	0.174	-0.094	-0.724	-0.119	-0.339	-1.286	-0.353	0.724	0.218	0.218	0.218	0.218	0.218	0.218	0.218	0.218	0.218	0.218	0.218	0.338	0.185	0.197	0.259	0	1	0	0	0	1	1	1	0	1	3.123	-0.705	1	1	1	0	1	0	0.155	0.460	0.287	26.300	36.145	0	Vinyldichloroacetate.mol2	-0.98	-1.30
100	*****	0.970	2.3	1.800	7.300	1.792	0.160		2.9044	2.8828	0.069	0.005	1.245	0.069	0.005	0.083	0.006	3.761	0.271	1.850	1.380	5.679	6.982	8.334	9.726	12.034	0.004	-0.009	-0.029	4.250	57.239	11.000	0.000	11.000	11.000	11.000	11.000	11.000	0.457	0.430	0.064	-1.956	0.000	-3.895	0.000	-1.956	0.000	-3.895	0.000	-1.987	0.000	0.000	0.000	-1.942	0.000	-0.953	-1.939	0.000	-0.982	0.000	0.974	0.116	0.187	2.749	3.977	4.519	5.978	1.413	1.292	-0.479	-3.000	-0.579	1.965	3.618	-1.897	3.478	0.156	0.843	0.156	0.156	0.156	0.156	0.156	0.726	0.156	0.413	0.326	0.063	0.005	0.412	0.275	0	0	1	0	0	1	1	0	1	0	3.521	0.000	1	0	0	0	0	0	0.052	0.340	0.085	9.230	11.000	0	Vinyldodecylether.mol2	0.44	-1.62
101	*****	0.989	7.7	2.400	7.900	0.000	0.118		2.8739	2.7145	0.163	0.033	1.297	0.164	0.033	0.173	0.035	4.248	0.236	2.400	1.483	5.129	6.545	7.994	9.465	10.251	0.000	0.000	0.000	4.184	31.893	11.000	0.000	11.000	11.000	11.000	11.000	11.000	0.513	0.285	0.198	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.961	0.124	0.180	4.013	5.913	6.523	9.232	-0.075	-0.434	-0.032	0.211	-0.058	-4.135	1.029	-0.162	0.749	0.213	0.242	0.213	0.213	0.213	0.213	0.213	0.242	0.213	0.222	0.238	0.020	0.004	0.176	0.145	0	0	1	0	0	1	1	0	1	0	3.328	0.000	1	0	0	0	0	0	0.092	0.297	0.158	9.230	11.000	0	vinylethylether.mol2	1.11	2.00
102	*****	1.047	22.2	3.283	8.783	0.000	0.039		4.4264	4.1832	0.025	0.002	1.388	0.025	0.002	0.024	0.002	5.419	0.201	3.287	2.175	6.973	8.868	10.811	12.780	38.634	0.409	0.367	0.219	7.356	31.893	64.673	22.000	72.290	72.290	72.290	72.290	72.290	0.693	0.222	0.250	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.674	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.754	0.116	0.167	5.706	12.240	21.276	22.867	0.014	-0.249	-0.072	0.222	-0.108	-5.455	0.235	0.903	-1.305	0.193	0.608	0.193	0.193	0.193	0.193	0.193	0.420	0.193	0.300	0.283	0.160	0.041	0.172	0.142	2	2	0	0	0	1	1	2	0	2	3.092	-2.042	1	2	1	0	2	0	0.161	0.905	0.285	52.600	72.290	0	Vinylethyloxalate.mol2	-1.11	-0.71
103	*****	0.970	0.0	2.067	7.567	0.000	0.354		2.5205	2.2707	0.095	0.019	1.259	0.184	0.037	0.198	0.040	3.915	0.257	2.072	1.356	4.805	6.137	7.507	8.902	4.068	0.000	0.000	0.000	4.004	24.508	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.474	0.420	0.063	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.873	0.135	0.197	3.538	4.649	5.632	10.189	0.896	0.275	-0.125	-0.838	-0.163	-0.412	0.746	-0.508	0.798	0.213	0.213	0.213	0.213	0.213	0.213	0.213	0.298	0.213	0.213	0.238	0.017	0.004	0.155	0.129	0	0	0	0	0	1	1	0	0	0	3.513	0.000	1	0	0	0	0	0	0.050	0.046	0.088	0.000	0.000	0	Vinylethylsulfide.mol2	0.66	-0.77
104	*****	0.996	7.1	2.787	8.287	0.000	0.354		3.4704	3.0939	0.125	0.021	1.327	0.094	0.016	0.097	0.016	4.833	0.227	2.852	2.098	6.242	8.132	10.074	12.044	9.933	0.000	0.000	0.000	4.643	24.508	22.156	0.000	22.156	22.156	22.156	22.156	22.156	0.545	0.285	0.183	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.849	0.112	0.194	3.974	6.714	11.731	14.593	1.440	0.468	-0.151	-0.915	-0.194	3.068	1.295	-0.240	0.856	0.208	0.284	0.208	0.208	0.208	0.208	0.208	0.259	0.208	0.231	0.208	0.016	0.003	0.221	0.116	2	0	0	0	0	1	1	0	0	0	3.331	0.000	1	0	0	0	0	0	0.057	0.093	0.089	17.070	22.156	0	Vinylethylsulfoxide.mol2	-0.12	-0.50
105	*****	0.981	5.1	2.178	7.678	1.792	0.130		3.1332	3.1048	0.258	0.017	1.287	0.259	0.017	0.279	0.019	4.207	0.255	2.224	1.672	6.530	8.309	10.188	12.123	21.272	-0.001	-0.046	-0.069	4.859	50.112	32.336	11.000	36.145	36.145	36.145	36.145	36.145	0.493	0.386	0.101	-1.953	0.000	-4.600	0.000	-1.953	0.000	-4.600	0.000	-2.000	0.000	0.286	0.000	-1.944	0.000	-0.948	-1.917	0.000	-0.979	0.000	0.893	0.191	0.188	3.179	5.080	5.651	7.965	1.283	0.988	-0.375	-2.620	-0.449	1.452	0.371	-2.109	3.298	0.159	0.713	0.159	0.159	0.159	0.159	0.159	0.621	0.159	0.295	0.253	0.076	0.005	0.394	0.264	0	1	0	0	0	1	1	1	0	1	3.344	-0.156	1	1	1	0	1	0	0.063	0.421	0.109	26.300	36.145	0	vinylhendeconate.mol2	-0.34	-1.33
106	*****	0.980	5.3	2.190	7.690	0.000	0.087		3.1684	3.0520	0.227	0.032	1.295	0.226	0.032	0.203	0.029	4.113	0.239	2.240	1.450	5.295	6.679	8.104	9.554	10.172	0.000	0.000	0.000	4.262	31.893	11.000	0.000	11.000	11.000	11.000	11.000	11.000	0.488	0.330	0.137	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.909	0.202	0.353	3.493	4.995	6.389	6.637	0.555	0.090	-0.161	-1.026	-0.197	-1.027	1.542	-0.650	0.879	0.191	0.296	0.191	0.191	0.191	0.191	0.191	0.224	0.191	0.221	0.191	0.073	0.023	0.340	0.202	0	0	1	0	0	1	1	0	1	0	3.410	0.000	1	0	0	0	0	0	0.073	0.306	0.131	9.230	11.000	0	VinylIsobutylEther.mol2	0.41	-1.41
107	*****	0.967	0.0	1.952	7.452	0.000	0.260		2.9042	2.7028	0.383	0.055	1.266	0.176	0.025	0.142	0.020	3.875	0.253	2.012	1.328	5.027	6.333	7.681	9.056	4.600	0.000	0.000	0.000	4.210	24.508	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.461	0.422	0.045	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.523	0.305	0.355	3.178	4.270	5.639	5.997	0.927	0.226	-0.193	-1.179	-0.232	-1.234	1.338	-1.104	1.251	0.191	0.296	0.224	0.191	0.191	0.224	0.191	0.191	0.191	0.238	0.201	0.066	0.024	0.472	0.169	0	0	0	0	0	1	1	0	0	0	3.596	0.000	1	0	0	0	0	0	0.045	0.054	0.079	0.000	0.000	0	Vinylisobutylsulfide.mol2	0.18	-0.36
108	*****	1.039	12.5	3.500	9.000	0.000	0.037		3.7616	3.9883	0.154	0.031	1.433	0.155	0.031	0.155	0.031	5.679	0.189	3.500	2.078	6.345	8.239	10.182	12.155	7.734	0.000	0.000	0.000	4.821	24.814	43.082	16.786	25.145	41.930	25.145	41.930	41.930	0.696	0.139	0.344	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.693	0.104	0.116	7.760	13.028	14.097	33.773	-0.408	-0.405	0.007	0.317	-0.001	-5.632	0.508	-1.030	0.529	0.250	0.588	0.250	0.250	0.250	0.250	0.250	0.427	0.250	0.332	0.299	0.025	0.013	0.116	0.039	1	0	0	0	0	1	1	1	0	0	3.121	0.000	1	0	0	0	0	0	0.116	0.153	0.215	29.430	41.930	0	vinylisocyanate.mol2	0.29	-0.90
109	*****	1.008	0.0	2.833	8.333	0.000	0.112		3.6771	3.8498	0.089	0.018	1.397	0.176	0.035	0.183	0.037	5.013	0.199	2.833	1.668	5.532	7.058	8.612	10.185	5.685	0.000	0.000	0.000	4.605	24.814	13.946	16.786	0.000	16.786	0.000	16.786	16.786	0.633	0.170	0.313	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.687	0.171	0.136	6.908	10.674	11.552	21.596	0.134	-0.206	-0.032	0.152	-0.042	-1.920	0.518	-0.340	0.545	0.250	1.000	0.250	0.250	0.250	0.250	0.250	1.000	0.250	0.397	0.397	0.033	0.018	0.188	0.092	1	0	0	0	0	1	1	1	0	0	3.255	0.000	1	0	0	0	0	0	0.071	0.065	0.134	12.360	16.786	0	Vinylisothiocyanate.mol2	-1.56	0.18
110	*****	0.998	9.1	3.133	8.633	0.000	0.000		3.2983	3.2698	0.214	0.043	1.352	0.215	0.043	0.228	0.046	5.187	0.206	3.140	2.155	6.234	8.140	10.092	12.069	6.612	0.000	0.000	0.000	4.653	15.767	30.278	0.000	25.145	25.145	25.145	25.145	25.145	0.552	0.188	0.266	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.603	0.067	0.271	4.758	8.379	14.686	11.038	0.137	-0.041	-0.002	0.025	-0.043	-1.270	0.478	-0.988	0.509	0.224	0.718	0.224	0.224	0.224	0.224	0.224	0.718	0.224	0.331	0.331	0.003	0.001	0.182	0.068	3	0	0	0	0	1	0	0	0	0	3.211	0.019	1	1	0	0	0	0	0.076	0.132	0.134	17.070	25.145	0	VinylmethylKetone.mol2	2.46	0.54
111	*****	0.992	5.9	2.241	7.741	0.000	0.050	8.606	3.0285	2.9288	0.115	0.013	1.359	0.115	0.013	0.122	0.014	4.661	0.214	2.305	1.674	5.687	7.104	8.551	10.020	9.013	1.097	0.320	0.784	4.652	27.301	0.000	16.243	11.000	11.000	11.000	11.000	11.000	0.557	0.175	0.317	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.833	0.137	0.138	4.517	7.471	8.705	11.210	0.278	-0.212	-0.031	-0.332	-0.033	-4.226	-0.348	-0.527	0.852	0.217	0.541	0.217	0.217	0.217	0.217	0.217	0.377	0.217	0.303	0.284	0.088	0.020	0.275	0.241	0	0	0	0	0	1	1	0	0	1	3.434	0.000	1	0	0	0	0	0	0.088	0.291	0.145	9.230	11.000	0	vinylphenylether.mol2	-2.23	-0.30
112	*****	0.977	0.0	2.056	7.556	0.000	0.092	8.606	2.8013	2.6260	0.070	0.008	1.337	0.130	0.014	0.141	0.016	4.475	0.223	2.127	1.583	5.515	6.891	8.295	9.719	5.416	0.759	0.882	0.911	4.633	23.608	0.000	1.551	0.000	0.000	0.000	0.000	0.000	0.527	0.213	0.279	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.724	0.186	0.161	4.177	6.461	7.497	10.289	1.244	0.193	-0.038	-0.922	-0.064	-2.629	-0.104	-1.011	0.542	0.197	0.197	0.197	0.197	0.197	0.197	0.197	0.197	0.197	0.285	0.209	0.091	0.020	0.380	0.233	0	0	0	0	0	1	1	0	0	0	3.619	0.000	1	0	0	0	0	0	0.059	0.065	0.080	0.000	0.000	0	Vinylphenylsulfide.mol2	0.20	-0.58
113	*****	0.974	3.3	1.962	7.462	2.565	0.147		3.0630	3.0508	0.259	0.012	1.264	0.260	0.012	0.279	0.013	3.993	0.264	2.019	1.551	6.649	8.373	10.219	12.138	25.693	0.002	-0.011	-0.019	4.859	67.854	32.336	11.000	36.145	36.145	36.145	36.145	36.145	0.472	0.422	0.069	-0.805	-1.094	-1.533	-2.147	-0.805	-1.094	-1.533	-2.147	-0.937	-1.160	0.286	0.000	-0.818	-1.109	0.258	-0.654	-0.903	0.213	-0.081	0.952	0.079	0.184	2.847	4.453	5.013	6.779	1.598	0.327	-0.515	-4.554	-0.552	-5.408	4.516	-3.612	5.034	0.160	0.203	0.145	0.153	0.153	0.153	0.160	0.174	0.145	0.186	0.171	0.132	0.011	0.489	0.355	0	1	0	0	0	1	1	1	0	1	3.379	-0.148	1	1	1	0	1	0	0.053	0.451	0.089	26.300	36.145	0	Vinylstearate.mol2	-1.19	1.15
114	*****	0.967	0.0	2.012	7.512	0.000	0.250		3.4704	3.1868	0.569	0.081	1.285	0.590	0.084	0.592	0.085	3.963	0.233	2.102	1.185	5.067	6.385	7.749	9.141	5.921	0.000	0.000	0.000	4.252	23.608	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.461	0.386	0.051	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.881	0.294	0.419	3.251	4.640	6.675	6.392	1.421	0.617	-0.241	-1.414	-0.288	0.704	1.087	-0.398	1.214	0.224	0.258	0.191	0.191	0.224	0.191	0.191	0.191	0.276	0.229	0.212	0.044	0.003	0.450	0.240	0	0	0	0	0	1	1	0	0	0	3.609	0.000	1	0	0	0	0	0	0.043	0.050	0.086	0.000	0.000	0	Vinyltert-butylsulfide.mol2	0.14	-0.43
115	*****	0.967	0.0	2.012	7.512	0.000	0.250		3.4704	3.1868	0.569	0.081	1.285	0.590	0.084	0.592	0.085	3.963	0.233	2.102	1.185	5.067	6.385	7.749	9.141	5.921	0.000	0.000	0.000	4.252	23.608	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.461	0.386	0.051	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.882	0.294	0.417	3.251	4.640	6.675	6.393	1.419	0.615	-0.231	-1.415	-0.277	0.695	1.062	-0.348	1.282	0.258	0.191	0.191	0.224	0.224	0.258	0.208	0.191	0.191	0.211	0.264	0.044	0.003	0.450	0.240	0	0	0	0	0	1	1	0	0	0	3.609	0.000	1	0	0	0	0	0	0.043	0.050	0.086	0.000	0.000	0	vinyltertbutylsulfide.mol2	0.41	0.64
116	*****	1.010	10.5	2.818	8.318	0.000	0.048	10.515	3.0697	3.0488	0.070	0.006	1.382	0.070	0.006	0.080	0.007	5.277	0.202	2.892	2.135	6.787	8.613	10.495	12.413	28.336	-0.980	-1.074	-1.172	6.351	15.767	68.738	6.371	67.828	67.828	67.828	67.828	67.828	0.612	0.171	0.305	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.791	0.028	0.122	5.154	10.797	12.131	16.651	0.730	0.383	0.017	-0.757	0.009	-5.004	-2.135	-0.546	-0.455	0.191	1.000	0.191	0.191	0.191	0.191	0.191	1.000	0.191	0.383	0.350	0.075	0.013	0.301	0.170	3	0	0	0	0	1	0	1	0	0	3.558	-0.902	1	1	1	0	1	0	0.117	0.541	0.194	37.300	67.828	0	vinylbenzoicacid,p.mol2	-1.03	0.50
117	*****	1.108	37.5	3.278	8.778	0.000	0.028	5.810	3.2157	2.9714	0.252	0.042	1.472	0.253	0.042	0.280	0.047	5.590	0.193	3.278	2.052	6.394	8.255	10.172	12.125	15.144	0.000	0.000	0.000	4.858	23.068	25.145	22.000	47.145	47.145	47.145	47.145	47.145	0.888	0.192	0.290	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.532	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.362	0.061	0.000	7.398	19.077	18.398	29.963	-0.535	-0.378	-0.006	-0.062	-0.004	-7.032	-3.999	1.200	-0.552	0.250	1.000	0.250	0.250	0.250	0.250	0.250	1.000	0.250	0.630	0.630	0.000	0.000	0.034	0.000	0	0	0	0	0	0	2	0	0	2	0.000	-0.657	0	1	1	0	3	0	0.250	0.689	0.460	43.350	47.145	0	vinylenecarbonate.mol2	-1.03	-1.95
118	*****	1.069	0.0	3.222	8.722	0.000	0.000		3.2995	3.0952	0.287	0.072	1.409	0.462	0.116	0.479	0.120	5.081	0.193	3.222	1.501	5.504	7.018	8.556	10.112	8.955	0.000	0.000	0.000	4.110	15.767	0.000	3.816	0.000	0.000	0.000	0.000	0.000	0.795	0.258	0.175	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.740	0.166	0.239	7.359	20.784	13.386	0.000	1.307	0.326	-0.017	-0.389	-0.021	2.887	-0.086	0.295	0.323	0.279	1.000	0.279	0.279	0.279	0.279	0.279	1.000	0.279	0.653	0.653	0.000	0.000	0.000	0.000	0	0	0	0	0	1	0	0	0	0	3.086	0.111	1	1	0	0	0	0	0.070	0.031	0.152	0.000	0.000	0	vinylidenechlroide.mol2	1.34	0.24
119	*****	1.039	12.5	3.500	9.000	0.000	0.037		3.7616	3.9883	0.154	0.031	1.433	0.155	0.031	0.155	0.031	5.679	0.189	3.500	2.078	6.345	8.239	10.182	12.155	7.734	0.000	0.000	0.000	4.821	24.814	43.082	16.786	25.145	41.930	25.145	41.930	41.930	0.696	0.139	0.344	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.697	0.104	0.116	7.760	13.029	14.097	33.781	-0.407	-0.405	0.007	0.317	-0.002	-5.611	0.539	-1.038	0.524	0.250	1.000	0.250	0.250	0.250	0.250	0.250	1.000	0.250	0.397	0.397	0.017	0.009	0.091	0.026	1	0	0	0	0	1	1	1	0	0	3.121	0.000	1	0	0	0	0	0	0.116	0.153	0.215	29.430	41.930	0	Vinylisocyanate.mol2	0.29	-0.90
120	*****	0.949	0.0	1.949	7.449	0.000	0.000		2.7842	2.6148	0.448	0.075	1.242	0.412	0.069	0.406	0.068	3.890	0.239	2.108	1.265	4.884	6.199	7.554	8.941	7.785	0.000	0.000	0.000	4.048	15.767	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.392	0.360	0.067	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.573	0.098	0.014	2.754	4.307	7.868	6.053	0.243	-0.185	-0.024	-1.502	-0.087	-3.254	1.461	-0.420	0.469	0.230	0.266	0.266	0.193	0.230	0.193	0.193	0.266	0.230	0.228	0.233	0.006	0.000	0.492	0.119	0	0	0	0	0	1	1	0	0	0	3.694	0.000	1	0	0	0	0	0				0.000	0.000	0	Vinyltrimethylsilane.mol2	-1.41	1.15
