No.	NAME	nCL	C%	X%	SpMAD_L	SpDiam_B(m)	ChiA_B(v)	SpMax_B(v)	SpDiam_B(v)	SpMAD_B(v)	SM6_B(v)	ChiA_B(e)	SpMax_B(e)	SpDiam_B(e)	SpMAD_B(e)	ChiA_B(p)	SpMax_B(p)	SpDiam_B(p)	SpMAD_B(p)	SM5_B(p)	SM6_B(p)	ChiA_B(i)	SpMax_B(i)	SpDiam_B(i)	ATS4e	ATS4i	ATS4s	MATS2m	MATS1v	MATS2v	MATS3v	MATS2e	MATS1p	MATS3p	MATS1i	MATS2i	MATS3i	MATS2s	GATS4m	GATS3v	GATS4e	GATS3p	GATS1i	GATS3i	GATS4s	SpMax1_Bh(v)	SpMax1_Bh(p)	SpMax1_Bh(i)	SpMin1_Bh(m)	SpMin1_Bh(v)	SpMin1_Bh(e)	SpMin1_Bh(p)	SpMin1_Bh(i)	P_VSA_LogP_6	P_VSA_m_4	P_VSA_ppp_P	P_VSA_ppp_con	Eta_betaP	Eta_betaP_A	Eta_beta_A	Eta_F_A	Eta_sh_y	SpMax_EA(bo)	SpDiam_EA(bo)	SpMAD_EA(bo)	SpMAD_EA(dm)	SpMax_EA(ri)	SpDiam_EA(ri)	SpMAD_EA(ri)	SpMax_AEA(bo)	SpMAD_AEA(bo)	SpMax_AEA(ri)	SM03_EA	SM05_EA	SM09_EA	SM03_EA(ed)	SM03_EA(bo)	SM04_EA(bo)	SM05_EA(bo)	SM07_EA(bo)	SM08_EA(bo)	SM09_EA(bo)	SM10_EA(bo)	SM11_EA(bo)	SM12_EA(bo)	SM13_EA(bo)	SM14_EA(bo)	SM15_EA(bo)	SM03_EA(dm)	SM05_EA(dm)	SM07_EA(dm)	SM09_EA(dm)	SM11_EA(dm)	SM13_EA(dm)	SM15_EA(dm)	SM03_EA(ri)	SM04_EA(ri)	SM05_EA(ri)	SM06_EA(ri)	SM08_EA(ri)	SM09_EA(ri)	SM10_EA(ri)	SM11_EA(ri)	SM12_EA(ri)	SM13_EA(ri)	SM14_EA(ri)	SM15_EA(ri)	SM04_AEA(bo)	SM05_AEA(bo)	SM06_AEA(bo)	SM07_AEA(bo)	SM08_AEA(bo)	SM11_AEA(ri)	Eig01_EA(bo)	Eig05_EA(dm)	Eig01_EA(ri)	Eig01_AEA(bo)	Eig01_AEA(ri)	SpPosA_RG	SpMAD_RG	WiA_G/D	Chi_G/D	TDB04u	TDB02m	TDB03m	TDB01e	TDB02e	TDB04e	TDB01i	TDB02i	TDB03i	TDB04i	Mor23m	Mor24m	Mor13p	G2v	G2e	G2p	G2i	HATS3u	HATS4u	HATS3m	HATS0v	HATS2v	HATS3v	HATS4v	HATS0e	HATS2e	HATS3e	HATS4e	HATS2p	HATS3p	HATS4p	HATSp	HATS2i	HATS3i	HATS4i	HATS3s	HATS4s	R3m	R2m+	R3m+	R4v	R3v+	R3e+	R2p+	R3p+	R4s	R4s+	nCconj	nR=Ct	nR=CX2	C-017	C-018	C-020	H-048	NdssC	NsCl	CATS2D_03_AL	B02[C-C]	B02[Cl-Cl]	B03[Cl-Cl]	F02[Cl-Cl]	F03[Cl-Cl]	Ui	Molecule	U	V
99	*****	2	33.3	16.7	1.382	5.146	0.307	3.293	4.721	1.364	7.498	0.290	3.473	4.716	1.354	0.311	3.263	4.778	1.415	6.330	7.457	0.294	3.427	4.708	2.387	2.468	4.027	0.038	-0.120	-0.117	0.270	-0.023	-0.156	0.043	-0.454	-0.269	0.468	-0.065	0.694	0.554	0.855	0.859	1.663	0.375	1.058	3.449	3.435	3.626	1.676	1.704	1.488	1.729	1.478	23.542	78.297	0.000	0.000	2.500	0.312	0.906	0.538	0.244	3.040	5.040	1.625	1.240	2.244	3.712	1.073	3.861	1.426	3.504	2.565	4.710	8.713	5.485	2.944	4.812	5.398	7.715	8.951	9.977	11.140	12.217	13.350	14.448	15.568	16.674	2.728	4.985	7.100	9.169	11.222	13.268	15.311	2.044	3.567	3.871	4.980	6.517	7.245	8.103	8.879	9.708	10.503	11.320	12.122	5.724	6.975	8.259	9.562	10.881	3.040	3.040	-1.200	2.244	3.861	3.504	0.367	0.734	1.108	0.877	4.096	3.722	4.710	1.523	2.838	4.481	1.549	2.947	4.126	4.845	0.269	-0.149	0.037	0.281	0.349	0.218	0.218	0.659	0.237	1.444	1.071	0.564	0.335	0.128	1.857	1.295	0.928	0.277	0.765	0.263	0.133	5.508	1.379	0.928	0.298	11.435	1.878	1.243	1.534	0.550	0.187	0.109	0.235	0.270	0.079	2.666	1.006	0	0	0	0	1	0	2	1	2	4	1	1	0	1	0	1.585	Vinyldichloroacetate.mol2	-0.98	-1.30
100	*****	0	32.6	0.0	1.267	4.068	0.337	2.990	4.065	1.295	7.679	0.332	3.092	4.067	1.295	0.339	2.976	4.124	1.300	6.636	7.652	0.333	3.064	4.049	4.557	4.886	5.040	-0.228	-0.075	-0.241	0.012	-0.091	-0.114	0.024	-0.123	-0.234	0.027	0.021	0.959	0.943	0.708	0.930	1.590	0.927	0.727	3.687	3.707	3.893	2.074	2.016	1.825	1.980	1.765	11.771	0.000	0.000	0.000	1.000	0.067	0.567	0.172	0.000	1.987	3.975	1.276	0.123	1.942	3.884	1.186	2.988	1.248	2.947	-0.000	0.000	0.000	-0.000	0.000	4.443	0.000	0.000	6.889	0.000	8.169	0.000	9.468	0.000	10.780	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	4.215	0.000	5.335	6.523	0.000	7.751	0.000	9.002	0.000	10.270	0.000	5.620	6.608	7.623	8.648	9.684	1.987	1.987	0.000	1.942	2.988	2.947	0.450	0.901	1.044	0.917	3.671	0.551	0.552	1.208	2.061	3.462	1.394	2.611	3.739	4.661	-0.144	0.107	0.437	0.780	0.483	0.535	0.439	0.501	0.446	0.019	0.035	0.048	0.059	0.053	0.237	0.242	0.457	0.403	0.069	0.098	0.090	1.911	0.346	0.708	0.625	0.614	0.553	0.142	0.032	0.013	0.257	0.013	0.043	0.017	0.013	2.382	0.067	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	1.000	Vinyldodecylether.mol2	0.44	-1.62
101	*****	0	30.8	0.0	1.214	3.964	0.349	2.911	3.959	1.314	6.613	0.333	3.063	3.963	1.316	0.358	2.864	3.995	1.333	5.521	6.530	0.336	3.028	3.953	2.426	2.679	3.258	-0.151	-0.263	-0.182	0.183	-0.173	-0.427	0.373	-0.460	-0.221	0.406	0.025	1.197	0.594	0.111	0.378	1.808	0.360	0.843	3.382	3.376	3.641	1.826	1.799	1.538	1.789	1.485	11.771	0.000	0.000	0.000	1.000	0.200	0.700	0.345	0.000	1.848	3.696	1.307	0.430	1.380	2.760	0.980	2.879	1.190	2.477	0.000	0.000	0.000	0.000	0.000	3.219	0.000	0.000	5.609	0.000	6.834	0.000	8.061	0.000	9.289	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.137	0.000	2.700	3.307	0.000	3.932	0.000	4.567	0.000	5.206	0.000	4.454	5.442	6.454	7.479	8.514	1.848	1.848	0.000	1.380	2.879	2.477	0.442	0.883	1.009	0.949	3.818	0.571	0.535	1.232	2.131	3.597	1.398	2.680	3.853	4.633	-0.018	-0.026	0.045	0.213	0.213	0.213	0.213	1.057	0.403	0.025	0.099	0.097	0.097	0.080	0.887	0.716	0.957	0.370	0.159	0.174	0.118	1.803	1.095	1.525	0.530	1.239	0.772	0.076	0.034	0.020	0.122	0.020	0.149	0.037	0.024	1.098	0.198	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	1.000	vinylethylether.mol2	1.11	2.00
102	*****	0	33.3	0.0	1.360	4.943	0.313	3.367	4.939	1.415	7.707	0.291	3.595	4.943	1.418	0.324	3.284	4.966	1.441	6.441	7.571	0.295	3.548	4.935	3.102	3.190	4.749	0.191	-0.207	-0.006	0.400	0.148	-0.437	0.435	-0.473	-0.193	0.443	0.137	1.046	0.479	1.200	0.406	1.753	0.409	1.541	3.461	3.410	3.681	1.808	1.792	1.532	1.819	1.513	11.771	0.000	0.000	64.673	4.000	0.400	1.000	0.707	0.231	3.338	5.338	1.650	0.744	2.626	4.293	1.249	4.037	1.387	3.687	2.565	4.796	8.923	5.666	3.219	5.231	5.889	8.389	9.696	10.830	12.071	13.252	14.470	15.666	16.876	18.078	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	2.527	4.239	4.687	5.926	7.770	8.668	9.670	10.611	11.590	12.547	13.517	14.479	5.999	7.271	8.581	9.915	11.268	3.338	3.338	0.000	2.626	4.037	3.687	0.421	0.841	1.031	0.936	3.947	1.325	1.772	1.366	2.459	4.399	1.447	2.763	3.950	4.792	0.147	-0.201	-0.069	0.193	0.193	0.193	0.230	0.853	0.260	0.100	0.111	0.096	0.099	0.085	0.761	0.602	0.809	0.316	0.141	0.142	0.072	1.986	0.891	1.232	0.354	2.416	2.031	0.339	0.060	0.075	0.195	0.026	0.134	0.034	0.022	3.914	0.774	2	0	0	0	1	0	1	2	0	0	1	0	0	0	0	2.000	Vinylethyloxalate.mol2	-1.11	-0.71
103	*****	0	30.8	0.0	1.214	4.406	0.336	3.022	3.951	1.307	6.807	0.339	2.993	3.946	1.301	0.326	3.170	4.016	1.341	5.960	7.062	0.343	2.955	3.946	2.426	2.679	3.258	-0.149	-0.064	-0.153	-0.089	-0.146	0.055	-0.285	-0.034	-0.150	-0.133	-0.063	0.520	1.050	0.694	1.484	1.125	1.138	1.548	3.447	3.552	3.610	1.785	1.763	1.562	1.695	1.518	11.771	32.220	0.000	0.000	1.000	0.200	0.600	0.130	0.000	1.848	3.696	1.307	1.475	1.257	2.514	0.907	2.879	1.190	2.409	0.000	0.000	0.000	0.000	0.000	3.219	0.000	0.000	5.609	0.000	6.834	0.000	8.061	0.000	9.289	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.000	1.822	-0.000	2.191	2.601	-0.000	3.030	-0.000	3.469	-0.000	3.915	-0.000	4.454	5.442	6.454	7.479	8.514	1.848	1.848	0.000	1.257	2.879	2.409	0.429	0.857	1.082	0.882	4.205	1.070	0.700	1.241	2.105	3.962	1.389	2.606	3.772	5.099	0.058	-0.087	0.238	0.213	0.213	0.213	0.213	1.113	0.378	0.052	0.106	0.134	0.129	0.075	0.864	0.756	1.009	0.347	0.232	0.249	0.111	2.091	1.121	1.558	0.497	1.303	0.725	0.110	0.109	0.017	0.107	0.022	0.146	0.067	0.043	0.969	0.176	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	1.000	Vinylethylsulfide.mol2	0.66	-0.77
104	*****	0	28.6	0.0	1.307	5.068	0.309	3.344	4.637	1.494	7.374	0.304	3.403	4.638	1.491	0.305	3.516	4.717	1.522	6.435	7.644	0.308	3.320	4.629	2.866	3.086	4.111	-0.109	-0.043	-0.112	-0.073	0.015	-0.013	-0.225	-0.082	-0.204	-0.114	0.041	0.776	0.995	2.238	1.315	1.328	1.073	2.306	3.623	3.757	3.738	1.803	1.846	1.669	1.770	1.661	11.771	19.133	0.000	64.898	3.000	0.500	0.958	0.446	0.263	2.903	4.903	1.484	1.180	1.841	3.098	0.959	3.679	1.273	3.117	1.946	3.932	7.459	4.691	2.565	4.575	5.081	7.358	8.590	9.548	10.687	11.704	12.803	13.847	14.927	15.983	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.371	2.819	2.840	3.831	4.955	5.449	6.134	6.693	7.336	7.924	8.549	9.149	5.366	6.604	7.870	9.151	10.441	2.903	2.903	-2.950	1.841	3.679	3.117	0.421	0.842	1.079	0.881	3.967	1.311	0.956	1.316	2.246	4.074	1.415	2.670	3.917	5.085	0.232	-0.168	0.242	0.208	0.208	0.208	0.208	1.251	0.739	0.171	0.145	0.163	0.222	0.144	0.812	0.697	1.256	0.812	0.254	0.319	0.170	2.341	0.974	1.727	1.029	3.917	3.448	0.300	0.127	0.083	0.181	0.045	0.150	0.078	0.052	3.824	0.707	2	0	0	0	1	0	1	0	0	2	1	0	0	0	0	1.585	Vinylethylsulfoxide.mol2	-0.12	-0.50
105	*****	0	33.3	0.0	1.302	4.575	0.326	3.199	4.571	1.332	7.852	0.320	3.393	4.574	1.334	0.330	3.138	4.612	1.347	6.736	7.793	0.321	3.350	4.563	4.434	4.736	5.197	-0.117	-0.078	-0.229	0.045	0.234	-0.122	0.044	-0.132	-0.250	0.042	0.184	0.962	0.904	0.921	0.900	1.559	0.900	0.948	3.681	3.699	3.884	2.066	2.008	1.818	1.974	1.758	11.771	0.000	0.000	0.000	2.500	0.167	0.683	0.320	0.070	2.845	4.845	1.392	0.390	2.299	4.243	1.235	3.667	1.267	3.351	1.946	3.932	7.639	4.691	2.565	4.963	4.949	7.183	8.553	9.344	10.544	11.469	12.588	13.576	14.657	15.676	2.243	4.269	6.158	7.992	9.802	11.599	13.391	1.911	4.445	3.810	5.763	7.192	7.354	8.694	9.064	10.245	10.757	11.830	12.440	5.953	7.083	8.254	9.451	10.670	2.845	2.845	0.000	2.299	3.667	3.351	0.445	0.891	1.043	0.918	3.697	0.668	0.650	1.228	2.100	3.565	1.399	2.617	3.756	4.684	-0.053	0.099	0.348	0.226	0.226	0.242	0.211	0.538	0.466	0.032	0.044	0.053	0.069	0.064	0.275	0.257	0.501	0.439	0.073	0.105	0.095	1.951	0.364	0.761	0.655	0.895	0.953	0.199	0.054	0.041	0.272	0.022	0.047	0.019	0.014	3.481	0.492	0	0	0	0	1	0	1	1	0	2	1	0	0	0	0	1.585	vinylhendeconate.mol2	-0.34	-1.33
106	*****	0	31.6	0.0	1.323	4.165	0.327	3.033	4.160	1.282	7.087	0.316	3.142	4.164	1.284	0.333	3.003	4.197	1.294	5.979	7.037	0.318	3.116	4.154	3.626	3.981	4.239	-0.069	-0.176	-0.066	-0.283	-0.104	-0.276	-0.296	-0.298	-0.073	-0.296	0.057	0.811	1.253	1.537	1.273	1.707	1.279	1.187	3.553	3.563	3.777	1.968	1.921	1.705	1.896	1.647	11.771	0.000	0.000	0.000	1.000	0.143	0.643	0.298	0.150	2.253	4.181	1.377	0.287	2.163	3.746	1.172	3.247	1.345	3.199	1.946	3.714	7.086	4.290	1.946	3.932	3.714	5.416	6.819	7.101	8.351	8.775	9.912	10.439	11.491	12.094	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.946	3.493	3.664	4.816	6.263	6.885	7.761	8.454	9.282	10.012	10.813	11.562	5.159	6.260	7.380	8.510	9.648	2.253	2.253	0.000	2.163	3.247	3.199	0.446	0.893	0.974	0.980	3.555	0.637	0.595	1.222	2.102	3.439	1.397	2.647	3.761	4.887	-0.053	-0.060	0.213	0.191	0.191	0.191	0.191	0.791	0.962	0.050	0.088	0.097	0.115	0.112	0.539	0.533	0.737	0.892	0.140	0.174	0.178	2.067	0.777	1.095	1.376	1.209	1.344	0.165	0.051	0.039	0.228	0.021	0.090	0.041	0.024	2.591	0.155	0	0	0	0	1	0	1	0	0	2	1	0	0	0	0	1.000	VinylIsobutylEther.mol2	0.41	-1.41
107	*****	0	31.6	0.0	1.323	4.616	0.319	3.111	4.152	1.279	7.210	0.320	3.089	4.148	1.275	0.312	3.229	4.217	1.301	6.276	7.386	0.323	3.062	4.148	3.587	3.941	4.083	-0.085	-0.049	-0.068	-0.240	-0.079	0.042	-0.185	-0.029	-0.069	-0.230	0.052	1.291	1.241	1.170	1.245	1.218	1.241	0.686	3.583	3.650	3.764	1.954	1.907	1.714	1.859	1.661	11.771	32.220	0.000	0.000	1.000	0.143	0.571	0.108	0.130	2.253	4.181	1.377	0.983	2.136	3.629	1.127	3.247	1.345	3.187	1.946	3.714	7.086	4.290	1.946	3.932	3.714	5.416	6.819	7.101	8.351	8.775	9.912	10.439	11.491	12.094	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.946	3.394	3.638	4.702	6.136	6.792	7.619	8.329	9.121	9.857	10.632	11.379	5.159	6.260	7.380	8.510	9.648	2.253	2.253	0.000	2.136	3.247	3.187	0.436	0.871	1.007	0.945	3.686	0.944	0.960	1.229	2.085	3.428	1.391	2.602	3.707	4.824	-0.037	0.003	0.362	0.224	0.208	0.191	0.208	0.687	1.243	0.136	0.113	0.131	0.179	0.161	0.517	0.532	0.645	1.130	0.202	0.274	0.297	2.650	0.761	0.865	1.721	1.171	1.577	0.317	0.138	0.100	0.268	0.044	0.066	0.085	0.061	2.445	0.122	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	1.000	Vinylisobutylsulfide.mol2	0.18	-0.36
108	*****	0	37.5	0.0	1.214	4.615	0.314	3.199	4.614	1.550	7.174	0.296	3.401	4.614	1.548	0.323	3.136	4.639	1.572	5.942	7.063	0.295	3.421	4.614	1.698	1.806	3.526	0.031	-0.275	-0.159	0.321	0.312	-0.460	0.220	-0.691	-0.047	0.341	0.180	1.448	0.670	1.758	0.642	1.710	0.504	1.784	3.390	3.371	3.625	1.702	1.709	1.498	1.720	1.443	11.771	0.000	0.000	32.552	4.000	0.800	1.350	0.593	0.000	2.613	5.226	1.848	0.794	1.543	3.087	1.091	3.356	1.166	2.580	0.000	0.000	0.000	0.000	0.000	4.575	0.000	0.000	8.379	0.000	10.299	0.000	12.220	0.000	14.141	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.540	0.000	3.338	4.181	0.000	5.039	0.000	5.903	0.000	6.770	0.000	5.124	6.260	7.417	8.589	9.770	2.613	2.613	0.000	1.543	3.356	2.580	0.431	0.862	1.057	0.923	3.887	1.161	1.198	1.274	2.302	4.328	1.426	2.814	3.909	4.891	0.034	0.031	0.111	0.250	0.250	0.250	0.250	1.100	0.602	0.152	0.486	0.340	0.208	0.165	1.861	1.193	1.101	0.709	0.286	0.257	0.159	2.365	1.482	1.604	0.820	3.017	4.537	0.188	0.387	0.102	0.118	0.055	0.203	0.071	0.048	3.017	1.370	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	2.000	vinylisocyanate.mol2	0.29	-0.90
109	*****	0	37.5	0.0	1.214	4.971	0.306	3.270	4.620	1.534	7.315	0.300	3.360	4.606	1.536	0.304	3.351	4.706	1.555	6.300	7.467	0.300	3.381	4.618	1.604	1.695	3.029	0.132	-0.157	-0.081	0.486	0.126	-0.093	0.513	-0.353	-0.339	0.679	0.212	1.866	0.494	0.654	0.330	1.142	0.237	1.342	3.421	3.461	3.611	1.694	1.696	1.507	1.680	1.456	11.771	45.192	0.000	32.552	3.500	0.700	1.200	0.524	0.000	2.613	5.226	1.848	0.849	1.437	2.874	0.981	3.356	1.166	2.509	0.000	0.000	0.000	0.000	0.000	4.575	0.000	0.000	8.379	0.000	10.299	0.000	12.220	0.000	14.141	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.270	0.000	2.927	3.622	0.000	4.333	0.000	5.052	0.000	5.774	0.000	5.124	6.260	7.417	8.589	9.770	2.613	2.613	0.000	1.437	3.356	2.509	0.398	0.797	1.098	0.894	4.090	1.784	1.961	1.297	2.283	4.078	1.433	2.768	3.837	4.505	-0.105	-0.049	0.113	0.250	0.250	0.250	0.250	0.497	0.327	0.049	0.342	0.110	0.082	0.131	0.677	0.341	0.472	0.325	0.136	0.119	0.216	2.283	0.460	0.712	0.367	0.965	1.351	0.119	0.297	0.056	0.118	0.036	0.129	0.098	0.039	1.190	0.450	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	2.000	Vinylisothiocyanate.mol2	-1.56	0.18
110	*****	0	36.4	0.0	1.312	4.608	0.304	3.254	4.604	1.424	7.174	0.295	3.362	4.607	1.425	0.309	3.220	4.632	1.439	5.964	7.111	0.297	3.337	4.599	2.386	2.663	3.434	0.141	-0.152	-0.031	-0.317	0.076	-0.174	-0.162	-0.175	-0.216	-0.128	0.088	1.344	1.119	1.233	0.987	1.375	0.982	1.340	3.521	3.518	3.699	1.837	1.815	1.627	1.807	1.590	0.000	0.000	0.000	55.522	3.000	0.600	1.050	0.532	0.214	2.814	4.814	1.671	0.639	2.285	3.798	1.302	3.596	1.389	3.228	1.946	3.714	6.940	4.290	2.565	4.419	4.949	7.140	8.342	9.262	10.378	11.355	12.430	13.436	14.491	15.511	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.104	3.553	3.985	5.056	6.651	7.411	8.280	9.078	9.923	10.737	11.571	12.392	5.252	6.480	7.728	8.989	10.257	2.814	2.814	0.000	2.285	3.596	3.228	0.435	0.870	1.041	0.920	3.723	0.845	0.746	1.212	2.122	3.655	1.371	2.624	3.894	4.889	0.071	-0.039	0.010	0.224	0.224	0.224	0.224	0.925	0.832	0.145	0.165	0.126	0.194	0.127	1.252	0.899	1.072	0.822	0.190	0.197	0.181	1.798	1.391	1.309	1.155	5.642	2.433	0.203	0.097	0.096	0.128	0.051	0.196	0.053	0.033	2.454	0.856	3	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1.585	VinylmethylKetone.mol2	2.46	0.54
111	*****	0	47.1	0.0	1.349	5.121	0.290	3.545	5.118	1.564	7.935	0.284	3.583	5.120	1.566	0.294	3.534	5.133	1.579	6.725	7.909	0.285	3.574	5.116	3.124	3.341	4.094	-0.123	-0.048	-0.201	0.021	-0.056	-0.111	0.081	-0.126	-0.254	0.092	0.021	1.148	0.880	1.207	0.841	1.113	0.847	1.013	3.811	3.814	3.915	1.999	1.981	1.873	1.973	1.848	11.771	0.000	0.000	52.625	7.500	0.833	1.389	0.681	0.115	3.449	6.449	1.894	0.191	2.379	4.379	1.283	3.900	1.376	3.463	1.946	4.111	8.134	5.094	2.674	5.653	5.493	8.188	10.225	10.804	12.616	13.374	15.034	15.915	17.467	18.437	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.758	4.146	3.759	5.614	7.203	7.555	8.849	9.369	10.526	11.155	12.222	12.923	5.985	7.211	8.470	9.753	11.055	3.449	3.449	0.000	2.379	3.900	3.463	0.435	0.871	1.052	0.983	4.075	1.162	1.131	1.266	2.277	4.043	1.383	2.600	3.814	5.051	-0.295	0.026	-0.262	0.197	0.197	0.236	0.236	0.811	0.445	0.071	0.114	0.128	0.129	0.108	0.746	0.456	0.766	0.424	0.163	0.182	0.142	2.367	0.599	1.130	0.583	1.321	0.895	0.245	0.054	0.031	0.220	0.030	0.136	0.046	0.030	1.691	0.144	0	0	0	0	1	0	1	0	0	2	1	0	0	0	0	2.322	vinylphenylether.mol2	-2.23	-0.30
112	*****	0	47.1	0.0	1.349	5.373	0.285	3.572	5.116	1.559	7.999	0.286	3.565	5.114	1.553	0.281	3.617	5.142	1.585	6.889	8.092	0.288	3.555	5.114	3.092	3.305	3.977	-0.051	0.026	-0.134	-0.078	-0.064	0.068	-0.170	0.036	-0.121	-0.097	-0.195	1.212	1.060	1.201	1.321	0.824	1.105	0.795	3.827	3.861	3.906	1.985	1.969	1.879	1.942	1.856	11.771	32.220	0.000	48.932	7.500	0.833	1.333	0.599	0.103	3.449	6.449	1.894	0.656	2.317	4.317	1.249	3.900	1.376	3.439	1.946	4.111	8.134	5.094	2.674	5.653	5.493	8.188	10.225	10.804	12.616	13.374	15.034	15.915	17.467	18.437	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.649	4.055	3.562	5.483	7.028	7.252	8.624	9.021	10.247	10.764	11.886	12.488	5.985	7.211	8.470	9.753	11.055	3.449	3.449	0.000	2.317	3.900	3.439	0.423	0.846	1.083	0.955	4.214	1.681	1.620	1.276	2.257	4.036	1.379	2.554	3.700	5.005	-0.083	0.001	-0.067	0.217	0.491	0.217	0.491	0.940	0.621	0.257	0.193	0.237	0.267	0.173	0.615	0.524	0.893	0.587	0.329	0.428	0.265	3.622	0.639	1.177	0.779	1.628	1.140	0.483	0.185	0.104	0.270	0.046	0.105	0.114	0.064	1.707	0.142	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	2.322	Vinylphenylsulfide.mol2	0.20	-0.58
113	*****	0	33.3	0.0	1.293	4.575	0.327	3.199	4.571	1.310	8.178	0.323	3.393	4.574	1.312	0.330	3.139	4.613	1.321	7.091	8.136	0.324	3.350	4.563	4.959	5.276	5.585	-0.164	-0.051	-0.240	0.027	0.203	-0.079	0.026	-0.085	-0.250	0.025	0.168	0.959	0.940	0.833	0.939	1.538	0.938	0.841	3.719	3.739	3.921	2.088	2.029	1.843	1.994	1.783	11.771	0.000	0.000	0.000	2.500	0.114	0.625	0.243	0.047	2.845	4.845	1.354	0.260	2.299	4.275	1.250	3.667	1.273	3.351	1.946	3.932	7.639	4.691	2.565	5.220	4.949	7.183	8.643	9.344	10.590	11.469	12.610	13.576	14.668	15.676	2.243	4.269	6.158	7.992	9.802	11.599	13.391	1.911	4.846	3.810	6.127	7.506	7.354	8.953	9.064	10.452	10.757	11.992	12.440	6.250	7.345	8.483	9.647	10.836	2.845	2.845	0.000	2.299	3.667	3.351	0.450	0.900	1.011	0.952	3.681	0.623	0.596	1.218	2.078	3.494	1.397	2.607	3.745	4.679	0.006	-0.019	0.657	0.160	0.174	0.217	0.167	0.363	0.334	0.033	0.040	0.055	0.062	0.060	0.184	0.206	0.338	0.312	0.073	0.089	0.084	2.346	0.278	0.498	0.455	0.588	0.620	0.263	0.038	0.033	0.350	0.018	0.040	0.020	0.013	3.306	0.360	0	0	0	0	1	0	1	1	0	2	1	0	0	0	0	1.585	Vinylstearate.mol2	-1.19	1.15
114	*****	0	31.6	0.0	1.367	4.916	0.296	3.311	4.551	1.144	7.429	0.298	3.290	4.548	1.132	0.290	3.421	4.600	1.198	6.417	7.594	0.300	3.262	4.548	3.717	4.099	4.284	0.266	-0.049	0.252	-0.695	0.288	0.042	-0.818	-0.029	0.268	-0.730	0.328	0.290	1.889	0.371	2.399	1.218	1.986	0.506	3.617	3.694	3.767	1.927	1.897	1.720	1.844	1.678	11.771	32.220	0.000	0.000	1.000	0.143	0.571	0.112	0.000	3.109	5.024	1.531	0.983	2.804	4.096	1.243	4.102	1.472	4.009	3.219	5.602	10.168	6.698	3.219	4.745	5.602	7.912	9.099	10.199	11.353	12.474	13.617	14.746	15.883	17.016	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.976	4.225	5.132	6.203	8.251	9.278	10.311	11.341	12.372	13.403	14.434	15.465	5.811	7.165	8.539	9.926	11.322	3.109	3.109	0.000	2.804	4.102	4.009	0.428	0.857	1.017	0.936	3.677	1.370	0.765	1.230	2.093	3.367	1.393	2.596	3.639	4.899	-0.070	-0.022	0.416	0.191	0.241	0.191	0.208	0.622	1.260	0.090	0.104	0.122	0.177	0.159	0.514	0.500	0.596	1.130	0.178	0.279	0.256	2.461	0.747	0.742	1.781	1.206	1.637	0.246	0.106	0.024	0.287	0.024	0.054	0.065	0.031	2.791	0.174	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	1.000	Vinyltert-butylsulfide.mol2	0.14	-0.43
